"","Year","State","State.ANSI","Data.Item","Fertilizer","Value"
"183",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","SULFUR",NA
"184",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",46
"185",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",122
"186",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",123
"187",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",NA
"188",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",1.6
"189",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",1.6
"190",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",1.9
"191",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",NA
"192",2014,"WASHINGTON",53," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",94
"193",2014,"WASHINGTON",53," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",94
"194",2014,"WASHINGTON",53," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",94
"195",2014,"WASHINGTON",53," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","SULFUR",NA
"196",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","NITROGEN",8617000
"197",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","PHOSPHATE",5305000
"198",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","POTASH",5470000
"199",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","SULFUR",226000
"200",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",15
"201",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",17
"202",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",19
"203",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","SULFUR",4
"204",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",225
"205",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",143
"206",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",147
"207",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",35
"208",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",15.5
"209",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",8.2
"210",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",7.5
"211",2010,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",8.4
"212",2010,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",99
"213",2010,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",96
"214",2010,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",97
"215",2010,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","SULFUR",17
"216",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","NITROGEN",1169000
"217",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","PHOSPHATE",363000
"218",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","POTASH",1373000
"219",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","SULFUR",NA
"220",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",2
"221",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",1
"222",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",3
"223",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","SULFUR",NA
"224",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",170
"225",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",55
"226",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",200
"227",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",NA
"228",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",74.3
"229",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",64.7
"230",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",74.3
"231",2010,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",NA
"232",2010,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",78
"233",2010,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",75
"234",2010,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",78
"235",2010,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","SULFUR",NA
"236",2010,"OREGON",41," APPLICATIONS, MEASURED IN LB","NITROGEN",93000
"237",2010,"OREGON",41," APPLICATIONS, MEASURED IN LB","PHOSPHATE",87000
"238",2010,"OREGON",41," APPLICATIONS, MEASURED IN LB","POTASH",129000
"239",2010,"OREGON",41," APPLICATIONS, MEASURED IN LB","SULFUR",25000
"240",2010,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",37
"241",2010,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",75
"242",2010,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",60
"243",2010,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","SULFUR",16
"244",2010,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",47
"245",2010,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",97
"246",2010,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",67
"247",2010,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",18
"248",2010,"OREGON",41," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",1.3
"249",2010,"OREGON",41," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",1.3
"250",2010,"OREGON",41," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",1.1
"251",2010,"OREGON",41," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",1.1
"252",2010,"OREGON",41," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",95
"253",2010,"OREGON",41," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",43
"254",2010,"OREGON",41," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",92
